block,Lambda,a_pred,a_oracle,b_pred,b_oracle
8,38.0,-0.013837185075749672,-0.01727165207484817,-0.013515467373683032,-0.014214055683834262
8,39.0,-0.011378652182167746,-0.01500345356817034,-0.015790229185860996,-0.017301898745638294
8,40.0,-0.008748977402985619,-0.012363016695508742,-0.01750293332969302,-0.019914484947143384
8,41.0,-0.006067401454891044,-0.009468558955296837,-0.018671305785477765,-0.022014385104015776
8,42.0,-0.003433950989460698,-0.006431026841425009,-0.019330953845065876,-0.02358746417278556
8,43.0,-0.0009301773333339029,-0.0033521084978151844,-0.01953098798665953,-0.024639857506608225
8,44.0,0.0013806830757009496,-0.0003219293998998861,-0.019330483408711976,-0.02519549302784429
8,45.0,0.0034536421518756785,0.002583337263000638,-0.01879491962407666,-0.025293258239605484
8,46.0,0.00526140187298578,0.005303363782731294,-0.01799238193987196,-0.02498343343903572
8,47.0,0.006792936526357485,0.0077945312612971345,-0.016989760289651837,-0.02432352105878567
8,48.0,0.008051177190701864,0.01002950972001617,-0.0158493693488711,-0.023373923907639906
8,49.0,0.009050041030258651,0.011995635688702344,-0.01462637256446106,-0.02219400934908429
8,50.0,0.009811194860552895,0.013692421089886357,-0.013367215657166628,-0.020838986032904093
8,51.0,0.010360946379155703,0.015128638241800418,-0.012109067371739016,-0.01935780977322051
8,52.0,0.010727560535793886,0.016319403196783173,-0.010880103315219422,-0.017792120866362896
8,53.0,0.010939162725865335,0.017283572474765772,-0.009700385040910593,-0.016176058355693922
8,54.0,0.01102226399948638,0.018041632901803946,-0.008583076286172595,-0.014536717812515582
8,55.0,0.011000852845845337,0.018614142513260327,-0.00753577708883936,-0.012895007872514058
9,30.0,-0.0033294341847465297,0.0013206015889213414,0.009855872058687994,0.010203141748301652
9,31.0,-0.005926088913535021,-0.0020103081762779976,0.009121700782256888,0.011645219728304386
9,32.0,-0.008052395985299082,-0.005558268858427266,0.007651931946530972,0.011864992439709916
9,33.0,-0.00957348518207457,-0.00889861439149801,0.005674603321607564,0.010905437966996763
9,34.0,-0.010451088188686508,-0.011709748950850613,0.0034304500994940604,0.008959180882363096
9,35.0,-0.010726889165299347,-0.013802550128781024,0.0011321841657333936,0.006294446393773946
9,36.0,-0.010491668182049788,-0.015107460945465277,-0.0010593566915469838,0.0031867196870054675
9,37.0,-0.009855111413541527,-0.015639640274578634,-0.0030389442543116985,-0.00012290680914703054
9,38.0,-0.008925191613582746,-0.015463323562024931,-0.004747948378543407,-0.0034422423778605236
9,39.0,-0.007797978112219335,-0.014666095148977659,-0.00616144149473713,-0.0066256906839900305
9,40.0,-0.006554625525146612,-0.013344234892442455,-0.007276837675438144,-0.009565670940136177
9,41.0,-0.005261891188361496,-0.011595872988417712,-0.008105833124371326,-0.012184161973629058
9,42.0,-0.003973710115813038,-0.009518115526855686,-0.008669322027544266,-0.014426769892342602
9,43.0,-0.0027326500889666185,-0.007205387219014087,-0.008994261314744748,-0.0162593033495723
9,44.0,-0.0015709542504973688,-0.004747602803618107,-0.009111519312372834,-0.017665837895860074
9,45.0,-0.0005113206863025105,-0.00222785573718029,-0.009054085515525168,-0.018647143345294073
9,46.0,0.00043231292164958024,0.0002800511232506053,-0.008855378875978176,-0.019218694562362557
9,47.0,0.0012537798972954567,0.002713688667009929,-0.00854765188348472,-0.019407974249022946
9,48.0,0.0019534301834011475,0.005023242560071906,-0.008160613945636719,-0.019251198641493456
9,49.0,0.002536678331196196,0.007171704622251787,-0.0077204084087035,-0.018789843122910765
9,50.0,0.003012493552892459,0.009134074690350165,-0.0072490182690121,-0.018067396329518395
9,51.0,0.0033919817273677794,0.0108958245479676,-0.006764095368150702,-0.01712667813153377
9,52.0,0.0036871747529841625,0.01245095570797854,-0.006279142508639042,-0.01600789687824839
9,53.0,0.0039100890530800805,0.013799965999901055,-0.005803943464627363,-0.014747463742224022
9,54.0,0.004072063762398971,0.014947964488131023,-0.00534513158623539,-0.013377467720703242
9,55.0,0.004183351997510833,0.015903079807837256,-0.004906803956767569,-0.011925655289032968
10,30.0,0.0055872214656351865,0.006756745497296871,0.007128591593650785,0.008088171079807728
10,31.0,0.0034758096812273487,0.0038575196078225837,0.008397189003149272,0.010943169173518615
10,32.0,0.0013657833091695604,0.0003455813821937002,0.00891968321843146,0.012603821115445134
10,33.0,-0.0005372967378031723,-0.0032997350350754628,0.008829443637822475,0.013003862370629502
10,34.0,-0.0021214723955310516,-0.006684766895062197,0.008299520746455243,0.012258936345970212
10,35.0,-0.0033554749746706886,-0.00954401492272575,0.007498162889842702,0.010592290962655636
10,36.0,-0.004261945217482577,-0.011737381047449319,0.006561192164791965,0.008260904603316705
10,37.0,-0.004889803313770716,-0.013220403461436223,0.005583431264736968,0.0055057117605075
10,38.0,-0.0052940276710808296,-0.014009311986159118,0.00462307148873102,0.0025296713717575035
10,39.0,-0.005524474743503496,-0.014153680454615566,0.0037112952612505523,-0.0005049846425457319
10,40.0,-0.00562162007368712,-0.013719685795307935,0.002861972617560757,-0.003470858576624572
10,41.0,-0.0056163396195264325,-0.012781704059289453,0.002079204142801369,-0.006268034012977513
10,42.0,-0.005531504518573497,-0.011418654324382077,0.0013623463917621509,-0.008818543796289506
10,43.0,-0.005384052241984204,-0.009712149544079573,0.0007089518053032678,-0.011063283397416926
10,44.0,-0.005186869905006546,-0.007744715153662403,0.00011624049940063552,-0.012960675123052457
10,45.0,-0.004950234570212854,-0.005597431955368875,-0.0004183437652713756,-0.014486007280792749
10,46.0,-0.0046827763136005965,-0.0033471156609847876,-0.000897074154283431,-0.015630536576993863
10,47.0,-0.0043920371848989795,-0.0010635180387393865,-0.0013220908915199114,-0.01639985287372612
10,48.0,-0.0040847399826761666,0.0011929216662987343,-0.0016955859519621613,-0.016811442834524355
10,49.0,-0.0037668818313076127,0.0033724176811303097,-0.002019934320925579,-0.016891709565114207
10,50.0,-0.0034437463209330207,0.005436166654815968,-0.002297744857832143,-0.01667284985009123
10,51.0,-0.0031198977306349657,0.0073557848776383715,-0.002531840242161798,-0.016189974813490094
10,52.0,-0.002799191447300564,0.009112110403642732,-0.002725191523699322,-0.015478744199446863
10,53.0,-0.0024848119301286997,0.010693665924694066,-0.0028808346496974543,-0.01457363728783697
10,54.0,-0.0021793353421994954,0.01209504457970614,-0.0030017904477503896,-0.013506855130143314
10,55.0,-0.0018848073614253086,0.013315409526706422,-0.003091001071584047,-0.012307763299232891
